,Title,Year,Source title,Abstract,Index Keywords,Cited by,Publisher,Language of Original Document,Document Type,countries,Funding Entities,Main Country,Period,Number of collaborators
413,Ocular manifestations of drepanocytemia in adult patients resident in Cienfuegos province [Manifestaciones oculares en adultos con drepanocitosis de la provincia Cienfuegos],2009,"Revista Cubana de Hematologia, Inmunologia y Hemoterapia","A cross-sectional and descriptive study was carried out to assess the ocular manifestations of drepanocytemia in 64 adult patients seen in Hemoglobinopathy of ""Dr. Gustavo Aldereguía Lima"" University Hospital. The aims of present paper were: to assess the ophthalmologic alterations frequency related to clinical-hematological parameters and to estimate its functional consequences. A basal total ophthalmologic examination was performed. For data analysis descriptive statistical models, mean comparisons and the Chi2 test. The decimal point sign was the more frequent alteration associated with SS genotype and with lower hemoglobin levels. Vessel tortuous was the commonest finding in retina in all genotypes, whereas the vitreous body opacities and the black cupping in sun shape showed a statistically significant association in some cases. A non-proliferative retinopathy was diagnosed in most of study patients and in some of them the findings of both types of retinopathy were showed. Despite the numerous lesions showed, visual acuity was qualified as good in the 94,6% of study eyes.","['adult', '  article', '  clinical feature', '  eye disease', '  eye examination', '  genotype', '  hemoglobin blood level', '  human', '  major clinical study', '  retinopathy', '  sickle cell anemia', '  visual acuity']",0.0,,Spanish,Article,['Cuba'],[],['Cuba'],2004 - 2013,1
414,Conditions with Appearances Similar to Diabetic Retinopathy,2009,A Practical Manual of Diabetic Retinopathy Management,[No abstract available],,0.0,Wiley-Blackwell,English,Book Chapter,['United Kingdom'],[],['United Kingdom'],2004 - 2013,1
415,Systemic effects of intra-articular corticosteroids,2009,Clinical Rheumatology,"The objective of this study was to review all the published articles in the English literature about the systemic effects of intra-articular corticosteroid injection (IACI) in humans. Reports were searched through Pubmed using the terms intraarticular or intra-articular and steroids, corticosteroids, or glucocorticosteroids up and including the year 2007. Reports were also located through references of articles. Only objective findings outside the injected joint were included. The overwhelming majority of the studies was done at the knee joint and in rheumatoid arthritis/juvenile idiopathic arthritis patients. Many of the studies were done on the hypothalamic-pituitary-adrenal axis. Serum cortisol decreased within hours with a nadir after usually 24-48 h following the IACI. Recovery to baseline takes 1-4 weeks and sometimes longer depending on the type and dose of IACI and on the number of injected joints. Serum cortisol levels were blunted following adrenocorticotropic hormone stimulation in a small proportion of patients following methylprednisolone acetate injection and more common following other preparations. IACI resulted in a transient increase in blood glucose levels over few days in controlled diabetic patients with knee osteoarthritis. Peak levels are around 300 mg%. IACIs are associated with reduction in inflammatory markers like C-reactive protein and erythrocyte sedimentation rate that start few days following the IACI and could last for months. The effect on inflammatory cytokines is immediate with significant decrease within hours. IACI may induce remission also in patients with oligo-/polyarthritis and/or in patients with extra-articular manifestations. Other metabolic, hematologic, vascular, allergic, visual, psychologic, and other effects were also reported. © Clinical Rheumatology 2009.","['adrenalin', '  antihistaminic agent', '  antiinflammatory agent', '  betamethasone', '  betamethasone acetate', '  C reactive protein', '  corticosteroid', '  corticotropin', '  cortivazol', '  dexamethasone tertiary butyl acetate', '  hydrocortisone', '  ibuprofen', '  interleukin 17', '  interleukin 2', '  interleukin 4', '  interleukin 6', '  interleukin 7', '  methotrexate', '  methylprednisolone acetate', '  prednisolone tertiary butyl acetate', '  protein S 100', '  protein S 100A12', '  rimexolone', '  salicylic acid', '  sulfadimidine', '  tetracosactide', '  triamcinolone acetonide', '  triamcinolone hexacetonide', '  tumor necrosis factor alpha', '  unclassified drug', '  agitation', '  anaphylactic shock', '  anaphylaxis', '  ankylosing spondylitis', '  area under the curve', '  arthralgia', '  atopic dermatitis', '  auditory hallucination', '  behavior change', '  blood viscosity', '  central serous retinopathy', '  cholesterol blood level', '  chronic arthritis', '  corticotropin blood level', '  Cushing syndrome', '  delusion', '  dermatitis', '  diastolic blood pressure', '  disorientation', '  dose time effect relation', '  drug absorption', '  drug blood level', '  drug clearance', '  drug efficacy', '  drug fatality', '  drug half life', '  drug hypersensitivity', '  drug mechanism', '  drug potentiation', '  erythrocyte sedimentation rate', '  eye inflammation', '  fever', '  flushing', '  glucose blood level', '  growth inhibition', '  hallucination', '  hiccup', '  hormonal regulation', '  human', '  hydrocortisone blood level', '  hydrocortisone saliva level', '  hydrocortisone urine level', '  hypothalamus hypophysis adrenal system', '  iritis', '  joint effusion', '  joint swelling', '  juvenile rheumatoid arthritis', '  knee', '  knee osteoarthritis', '  leukocyte', '  leukocyte count', '  lung tuberculosis', '  lymphocytosis', '  mean residence time', '  monocyte', '  moon face', '  neutrophil', '  osteoarthritis', '  paranoia', '  peripheral blood mononuclear cell', '  polyarthritis', '  potassium blood level', '  priority journal', '  rash', '  recurrent disease', '  remission', '  review', '  rheumatic disease', '  rheumatoid arthritis', '  saliva level', '  shoulder pain', '  sickle cell anemia', '  sickle cell crisis', '  side effect', '  single drug dose', '  sodium blood level', '  sport injury', '  synovitis', '  systemic disease', '  systolic blood pressure', '  triacylglycerol blood level', '  tuberculous arthritis', '  unspecified side effect', '  visual hallucination', '  visual impairment', '  Antirheumatic Agents', '  Arthritis', '  Glucocorticoids', '  Humans', '  Hydrocortisone', '  Hypothalamo-Hypophyseal System', '  Injections', ' Intra-Articular', '  Pituitary-Adrenal System']",187.0,,English,Review,['Israel'],[],['Israel'],2004 - 2013,1
416,Sickle cell disease in the post genomic era: A monogenic disease with a polygenic phenotype,2009,Genomics Insights,"More than half a century after the discovery of the molecular basis of Sickle Cell Disease (SCD), the causes of the phenotypic heterogeneity of the disease remain unclear. This heterogeneity manifests with different clinical outcomes such as stroke, vaso-occlusive episodes, acute chest syndrome, avascular necrosis, leg ulcers, priapism and retinopathy. These outcomes cannot be explained by the single mutation in the beta-globin gene alone but may be attributed to genetic modifiers and environmental effects. Recent advances in the post human genome sequence era have opened the door for the identification of novel genetic modifiers in SCD. Studies are showing that phenotypes of SCD seem to be modulated by polymorphisms in genes that are involved in inflammation, cell-cell interaction and modulators of oxidant injury and nitric oxide biology. The discovery of genes implicated in different phenotypes will help understanding of the physiopathology of the disease and aid in establishing targeted cures. However, caution is needed in asserting that genetic modifiers are the cause of all SCD phenotypes, because there are other factors such as genetic background of the population, environmental components, socio-economics and psychology that can play significant roles in the clinical heterogeneity.",,77.0,Libertas Academica Ltd.,English,Review,['United States'],[],['United States'],2004 - 2013,1
417,Proliferative sickle cell retinopathy associated with sickle cell trait and gestational diabetes: Case report [Retinopatia falciforme proliferativa associada a traço falciforme e diabetes gestacional: Relato de caso],2009,Arquivos Brasileiros de Oftalmologia,"Proliferative sickle cell retinopathy is an uncommon complication in individuals with sickle cell trait (AS). However, the risk for proliferative retinopathy development is increased in patients with AS hemoglobinopathy associated with systemic conditions or ocular trauma. A case of a patient with AS hemoglobinopathy who developed proliferative sickle cell retinopathy after the occurrence of gestational diabetes and pregnancy-induced hypertension is reported. Hemoglobin electrophoresis revealed presence of A2 5.0%, S 35.0% and A 53.2%. The present case emphasizes the importance of evaluating systemic comorbidities in patients with sickle cell trait during pregnancy since sickle cell retinopathy can progress rapidly, as well as the importance of regular eye fundus examination in these patients.","['adult', '  article', '  case report', '  female', '  human', '  maternal hypertension', '  physiology', '  pregnancy', '  pregnancy diabetes mellitus', '  retina disease', '  sickle cell trait', '  visual acuity', '  Adult', '  Diabetes', ' Gestational', '  Female', '  Humans', '  Hypertension', ' Pregnancy-Induced', '  Pregnancy', '  Retinal Diseases', '  Sickle Cell Trait', '  Visual Acuity']",6.0,Conselho Brasileiro De Oftalmologia,Portuguese,Article,['Brazil'],[],['Brazil'],2004 - 2013,1
418,Epidemiology and prognostic factors for sickle cell retinopathy in Ouagadougou (Burkina Faso) [Étude épidémiologique et facteurs pronostiques de la rétinopathie drépanocytaire à Ouagadougou (Burkina Faso)],2009,Journal Francais d'Ophtalmologie,"Introduction.- The frequency of sickle cell disease varies from 5% to 20% in Africa. Patients and method.- This retrospective study investigated 173 patients in an ambulatory setting from August 2000 to July 2006. The study included 98 women and 75 men, aged 15-62 years, with a mean age of 26.7 years. Results.- Only 89 patients (71 SC and 18 SS) were seen in ophthalmology, 44 (49%) had sickle cell retinopathy with 26 (29%) cases nonproliferative and 18 cases proliferative (20%). Among the 71 SC patients, 35 (50%) had sickle cell retinopathy, with 40% the proliferative form. Of the 18 SS patients, nine had a retinopathy (50%), with four cases proliferative. Discussion.- Retinopathy is a frequent complication of sickle cell disease, which can lead to blindness, and its management better accessibility to the ophthalmologic examination and preventive treatment by laser photo coagulation. © 2009 Elsevier Masson SAS. All rights reserved.","['adolescent', '  adult', '  article', '  Burkina Faso', '  female', '  human', '  male', '  middle aged', '  prognosis', '  retina disease', '  retrospective study', '  sickle cell anemia', '  Adolescent', '  Adult', '  Anemia', ' Sickle Cell', '  Burkina Faso', '  Female', '  Humans', '  Male', '  Middle Aged', '  Prognosis', '  Retinal Diseases', '  Retrospective Studies', '  Young Adult']",17.0,Elsevier Masson SAS,French,Article,['Burkina Faso'],[],['Burkina Faso'],2004 - 2013,1
419,Guidelines for management of adult sickle cell disease [Recommandations pratiques de prise en charge de la drépanocytose de l'adulte],2009,Revue de Medecine Interne,"Sickle cell disease is a systemic disease that can potentially involve all organs. As the prevalence of patients with sickle cell disease increases gradually in France, every physician can be potentially involved in the care of these patients. Complications of sickle cell disease can be acute or chronic. Pain is the main symptom and should be treated quickly and aggressively. Acute chest syndrome is the leading cause of acute death and must be prevented, detected, and treated without delay. Chronic complications are one of the main concerns in adults and should be identified as early as possible in order to prevent sequels. Many organs can be involved, including the bones, kidneys, eyes, lungs... The indications for a specific treatment (blood transfusion or hydroxyurea) should be discussed. Health care should be carefully organized to allow both a regular follow-up near the living place and access to specialized departments. We present in this article the French guidelines for the sickle cell disease management in adulthood. © 2009 Société nationale française de médecine interne (SNFMI).","['acetylsalicylic acid', '  allopurinol', '  amoxicillin', '  benzodiazepine derivative', '  cefotaxime', '  ceftriaxone', '  clindamycin', '  cloxacillin', '  codeine', '  corticosteroid', '  cyproterone acetate', '  dalacine', '  diuretic agent', '  droperidol', '  etilefrine', '  gentamicin', '  hydroxyurea', '  hydroxyzine', '  mifepristone', '  morphine', '  nalbuphine', '  naloxone', '  nefopam', '  ondansetron', '  phenylephrine', '  recombinant erythropoietin', '  spiramycin', '  telithromycin', '  tramadol', '  unclassified drug', '  unindexed drug', '  vancomycin', '  acute chest syndrome', '  antibiotic therapy', '  blood transfusion', '  bone necrosis', '  cerebrovascular accident', '  disease exacerbation', '  drug dose titration', '  follow up', '  France', '  hepatitis B', '  hepatitis C', '  human', '  infection', '  intrahepatic cholestasis', '  iron overload', '  kidney transplantation', '  oxygen therapy', '  pain', '  pathophysiology', '  patient controlled analgesia', '  patient education', '  practice guideline', '  prenatal diagnosis', '  prevalence', '  priapism', '  proliferative retinopathy', '  pulmonary hypertension', '  sepsis', '  short survey', '  sickle cell anemia', '  skin ulcer']",42.0,Elsevier Masson SAS,French,Article,['France'],[],['France'],2004 - 2013,1
420,Vitreoretinal management of the complications of sickle cell retinopathy by observation or pars plana vitrectomy,2009,Eye,"Purpose: To describe the management of vitreoretinal complications of sickle cell retinopathy.DesignA retrospective interventional case seriesMethodsReview of an electronic patient record and clinical notes of 27 patients with vitreoretinal complications of sickle retinopathy.ResultsSix male patients and 21 female patients presented with a mean age of 41 years (range 28-67), 12 left eyes and 16 right eyes. The mean follow-up was 15.5 months (range: 3-60). Two patients were SS, and the remainders were doubly heterozygous (SC). In all, 10 were observed without surgery three with vitreous haemorrhage, four tractional retinal detachments (TRD), and three rhegmatogenous retinal detachments (RRD). Two patients demonstrated spontaneous flattening of the retina one RRD and one TRD. Eighteen eyes had pars plana vitrectomies (PPVs) seven with vitreous haemorrhage, three RRD, three TRD, three ERM (one bilateral), and two macular holes. In all, 15 patients (83%) had improved vision postoperatively. The mean logMar preoperative visual acuity was 1.07 (Snellen equivalent 6/70), SD 0.62 was significantly improved postoperatively (mean 0.42 (6/15), SD 0.48, P0.001).ConclusionsSickle retinopathy occasionally presents with vitreoretinal complications. These can often be observed and may spontaneously regress. If surgery is required eyes respond to vitrectomy procedures with segmentation of sea fan proliferation. © 2009 Macmillan Publishers Limited All rights reserved.","['adult', '  aged', '  article', '  ciliary disk', '  clinical article', '  defense mechanism', '  diagnostic test', '  electronic medical record', '  eye surgery', '  female', '  follow up', '  heterozygosity', '  human', '  male', '  medical record review', '  observational study', '  postoperative period', '  preoperative period', '  retina detachment', '  retina disease', '  retina macula lutea', '  retinopathy', '  retrospective study', '  rhegmatogenous retinal detachment', '  sickle cell anemia', '  sickle cell retinopathy', '  snellen test', '  tractional retinal detachment', '  visual acuity', '  vitrectomy', '  vitreoretinopathy', '  vitreous hemorrhage', '  Adult', '  Aged', '  Anemia', ' Sickle Cell', '  Female', '  Follow-Up Studies', '  Humans', '  Male', '  Middle Aged', '  Remission', ' Spontaneous', '  Retinal Detachment', '  Retinal Hemorrhage', '  Retinal Perforations', '  Retrospective Studies', '  Visual Acuity', '  Vitrectomy', '  Watchful Waiting']",23.0,Nature Publishing Group,English,Article,['United Kingdom'],[],['United Kingdom'],2004 - 2013,1
421,Characteristics and Outcome of Connective Tissue Diseases in Patients with Sickle-Cell Disease: Report of 30 Cases,2008,Seminars in Arthritis and Rheumatism,"Objectives: To analyze the main characteristics of adults with sickle cell disease (SCD) and concurrent connective tissue disease (CTD). Methods: A retrospective investigational study was performed. CTD was diagnosed according to standard international criteria. Severity of SCD was assessed by a clinical severity score. Results: Thirty patients, 23 women (76%) and 7 men, with hemoglobin S/S (n = 25) or S/C (n = 5) SCD were included. The subtypes of CTD were rheumatoid arthritis (RA) (n = 15), definite systemic lupus erythematosus or ""incomplete lupus"" requiring treatment (n = 13), primary Sjögren's syndrome with central nervous system involvement (n = 1), and systemic sclerosis (n = 1). Twenty-five of the 30 patients (83%) received steroid treatment, and 15 (50%) received at least 1 immunosuppressive agent (methotrexate in 14 cases) to control CTD. Four RA patients were given antitumor necrosis factor (TNF)α and 1 was treated with rituximab without SCD exacerbation. After a median follow-up of 4.5 years [range: 6 months to 30 years] from CTD diagnosis, 11 of the 25 (44%) patients receiving steroids had at least 1 episode of severe infection (mostly due to Staphylococcus aureus or Escherichia coli). SCD exacerbated in 13 of the 30 (43%) patients after CTD onset; 12 of these patients were receiving prednisone and/or methotrexate. Six patients (20%) had died from sepsis (n = 2), stroke (n = 2), or acute chest syndrome (n = 2). Conclusions: CTD-related clinical manifestations and outcome were not particularly severe in patients with SCD. However, those with active CTD and undergoing steroid ± methotrexate treatment had more serious SCD-related manifestations, a higher rate of severe infections, and an overall patient mortality rate of 20%. Thus, the management of patients with CTD and underlying SCD should consider the risk/benefit ratio of each treatment and steroid-sparing strategies should be implemented. © 2008.","['adalimumab', '  autoantibody', '  azathioprine', '  bosentan', '  corticosteroid', '  cyclophosphamide', '  cyclosporin', '  dapsone', '  etanercept', '  gold', '  hemoglobin C', '  hemoglobin S', '  hydroxychloroquine', '  hydroxyurea', '  infliximab', '  isoniazid', '  leflunomide', '  methotrexate', '  methylprednisolone', '  penicillamine', '  prednisolone', '  prednisone', '  recombinant interleukin 1 receptor blocking agent', '  rifampicin', '  rituximab', '  salazosulfapyridine', '  triamcinolone hexacetonide', '  tumor necrosis factor alpha antibody', '  warfarin', '  acute chest syndrome', '  adult', '  article', '  avascular necrosis', '  blood transfusion', '  blood vessel occlusion', '  bone radiography', '  brain hemorrhage', '  cause of death', '  central nervous system disease', '  cerebrovascular accident', '  clinical article', '  clinical feature', '  connective tissue disease', '  disease exacerbation', '  disease severity', '  drug dose reduction', '  drug fatality', '  drug megadose', '  drug substitution', '  drug withdrawal', '  Enterobacter infection', '  Escherichia coli', '  female', '  follow up', '  gastrointestinal symptom', '  human', '  immunosuppressive treatment', '  infection', '  liver toxicity', '  low drug dose', '  male', '  mortality', '  nephrotic syndrome', '  priority journal', '  pulmonary hypertension', '  retinopathy', '  rheumatoid arthritis', '  sepsis', '  sickle cell anemia', '  Sjoegren syndrome', '  skin manifestation', '  Staphylococcus aureus', '  Staphylococcus infection', '  steroid therapy', '  stroke', '  systemic lupus erythematosus', '  systemic sclerosis', '  tuberculosis', '  Adult', '  Anemia', ' Sickle Cell', '  Antisickling Agents', '  Arthritis', ' Rheumatoid', '  Blood Transfusion', '  Drug Therapy', ' Combination', '  Female', '  France', '  Glucocorticoids', '  Humans', '  Hydroxyurea', '  Immunosuppressive Agents', '  Lupus Erythematosus', ' Systemic', '  Male', '  Methotrexate', '  Retrospective Studies', '  Risk Assessment', '  Severity of Illness Index', '  Survival Rate', '  Treatment Outcome']",28.0,,English,Article,"['France', ' Martinique']",[],['France'],2004 - 2013,2
422,Genetics of ischemic stroke,2008,Neurosciences,"Stroke is the third leading cause of death and a major cause of disability worldwide. Most cases of ischemic stroke are attributable to hypertension and other risk factors, but in over 20% of cases, the cause is unknown. Recent research has implicated some novel genes in the etiology of ischemic stroke, including genes for soluble epoxide hydrolase (sHE), 5-lipoxygenase activating protein (FLAP) and phosphodiesterase 4D (PDE4D). Moreover, thrombophilic states such as prothrombin G20210A mutation and factor V Leiden are now known to cause arterial stroke as well as venous thrombosis. Meanwhile, the recent availability of enzyme replacement therapy for Fabry disease and the proven benefits of regular blood transfusion in certain patients with sickle cell disease have greatly altered the outlook of these devastating inherited disorders. Thus, our understanding of the role of genetic factors in stroke raises the prospects for accurate assessment of future stroke risk among susceptible individuals, in whom early preventive measures may be life-saving. Further research into the genetics of stroke will clearly compliment ongoing national and international efforts to reduce the global burden of stroke.","['agalsidase beta', '  arachidonate 5 lipoxygenase activating protein', '  atrial natriuretic factor', '  blood clotting factor 5 Leiden', '  dipeptidyl carboxypeptidase', '  epoxide hydrolase', '  leukotriene', '  phosphodiesterase IV', '  prothrombin', '  blood transfusion', '  CADASIL', '  cerebrovascular accident', '  disease association', '  enzyme replacement', '  Fabry disease', '  gene mutation', '  genetic analysis', '  genetic polymorphism', '  human', '  hyperhomocysteinemia', '  kidney disease', '  protein C deficiency', '  protein S deficiency', '  retinopathy', '  review', '  risk factor', '  sickle cell anemia', '  skin biopsy', '  vascular disease']",3.0,,English,Review,['Saudi Arabia'],[],['Saudi Arabia'],2004 - 2013,1
423,Ocular manifestations of sickle cell trait,2008,Clinical and Refractive Optometry,"Background: Sea fan neovascularization is a well established finding in sickle cell retinopathy, but it is usually not associated with sickle cell trait. Under ordinary circumstances, those with sickle cell trait do not develop sickling or anemia and thus do not present with clinical signs or symptoms. However, retinopathy may occur in those individuals with sickle cell trait when there are other precipitating factors present. Under conditions that contribute to hypoxia, patients who have sickle cell trait may develop sickle cell retinopathy and other ocular complications. Case Reports: Two cases in which the individual had what appeared to be sea fan neovascularization are presented. Both were found to have sickle cell trait. Both had other systemic vascular diseases that were believed to have contributed to the development of the sea fan neovascularization. Conclusions: Sea fan neovascularization can occur in patients without sickle cell anemia. In such cases, an investigation for hemoglobinopathies in conjunction with other systemic conditions which may be contributing to hypoxia must be conducted. Those patients who are known to have both sickle cell trait and other systemic vascular disease should undergo regular ophthalmic examination.",,0.0,,English,Article,['United States'],[],['United States'],2004 - 2013,1
424,Management of sickle cell disease,2008,BMJ,[No abstract available],"['calcium channel blocking agent', '  cephalosporin', '  endothelin receptor antagonist', '  etilefrine', '  hemoglobin', '  hydroxyurea', '  macrolide', '  morphine', '  paracetamol', '  penicillin G', '  phenylephrine', '  polysaccharide vaccine', '  prostacyclin derivative', '  sildenafil', '  hemoglobin variant', '  acute chest syndrome', '  analgesia', '  anemia', '  aplastic anemia', '  atelectasis', '  bone necrosis', '  chronic disease', '  clinical feature', '  clinical trial', '  exchange blood transfusion', '  general anesthesia', '  high risk pregnancy', '  human', '  hydration', '  infection prevention', '  kidney failure', '  leg ulcer', '  meningitis', '  newborn screening', '  osteomyelitis', '  pain', '  priapism', '  priority journal', '  pulmonary hypertension', '  retinopathy', '  review', '  risk assessment', '  septicemia', '  sickle cell anemia', '  spirometry', '  Streptococcus infection', '  stroke', '  acute disease', '  anesthesia', '  bacterial infection', '  drug contraindication', '  female', '  genetics', '  male', '  pain', '  pregnancy', '  pregnancy complication', '  priapism', '  pulmonary hypertension', '  risk factor', '  sickle cell anemia', '  stroke', '  syndrome', '  Acute Disease', '  Anemia', ' Sickle Cell', '  Anesthesia', '  Bacterial Infections', '  Chronic Disease', '  Female', '  Hemoglobins', ' Abnormal', '  Humans', '  Hypertension', ' Pulmonary', '  Male', '  Pain', '  Pregnancy', '  Pregnancy Complications', ' Hematologic', '  Priapism', '  Risk Factors', '  Stroke', '  Syndrome']",40.0,,English,Review,['France'],[],['France'],2004 - 2013,1
425,Hyperbaric oxygen therapy and the eye,2008,Undersea and Hyperbaric Medicine,"Hyperbaric oxygen therapy (HBOT) is a primary or adjunctive therapy for a variety of medical disorders including some involving the eye. This paper is the first comprehensive review of HBOT for ocular indications. The authors recommend the following as ocular indications for HBOT: decompression sickness or arterial gas embolism with visual signs or symptoms, central retinal artery occlusion, ocular and periocular gas gangrene, cerebro-rhino-orbital mucormycosis, periocular necrotizing fasciitis, carbon monoxide poisoning with visual sequelae, radiation optic neuropathy, radiation or mitomycin C-induced scleral necrosis, and periorbital reconstructive surgery. Other ocular disorders that may benefit from HBOT include selected cases of ischemic optic neuropathy, ischemic central retinal vein occlusion, branch retinal artery occlusion with central vision loss, ischemic branch retinal vein occlusion, cystoid macular edema associated with retinal venous occlusion, post-surgical inflammation, or intrinsic inflammatory disorders, periocular brown recluse spider envenomation, ocular quinine toxicity, Purtscher's retinopathy, radiation retinopathy, anterior segment ischemia, retinal detachment in sickle cell disease, refractory actinomycotic lacrimal canaliculus, pyoderma gangrenosum of the orbit and refractory pseudomonas keratitis. Visual function should be monitored as clinically indicated before, during, and after therapy when HBOT is undertaken to treat vision loss. Visual acuity alone is not an adequate measure of visual function to monitor the efficacy of HBOT in this setting. Ocular examinations should also include automated perimetry to evaluate the central 30 degrees of visual field at appropriate intervals. Interpretation of the literature on the efficacy of HBOT in treating ocular disorders is complicated by several factors: frequent failure to include visual field examination as an outcome measure, failure to adequately address the interval from symptom onset to initiation of HBOT, and lack of evidence for optimal treatment regimens for essentially all ocular indications. Because some ocular disorders require rapid administration of HBOT to restore vision, patients with acute vision loss should be considered emergent when they present. Visual acuity should be checked immediately, including vision with pinhole correction. If the patient meets the criteria for emergent HBOT outlined in the paper, normobaric oxygen should be started at the highest inspired oxygen fraction possible until arrangements can be made for HBOT.","['air embolism', '  carbon monoxide intoxication', '  decompression sickness', '  eye disease', '  gas gangrene', '  human', '  hyperbaric oxygen', '  mucormycosis', '  necrosis', '  necrotizing fasciitis', '  pathology', '  radiation injury', '  retina artery occlusion', '  retina vein occlusion', '  review', '  sclera', '  visual disorder', '  Carbon Monoxide Poisoning', '  Decompression Sickness', '  Embolism', ' Air', '  Eye Diseases', '  Fasciitis', ' Necrotizing', '  Gas Gangrene', '  Humans', '  Hyperbaric Oxygenation', '  Mucormycosis', '  Necrosis', '  Radiation Injuries', '  Retinal Artery Occlusion', '  Retinal Vein Occlusion', '  Sclera', '  Vision Disorders']",53.0,,English,Review,['United States'],[],['United States'],2004 - 2013,1
426,A case of sickle cell retinopathy,2008,Japanese Journal of Clinical Ophthalmology,Purpose: To report sickle cell retinopathy with retinal detachment in a case of hemoglobin S-C disease. Case and Findings: A 45-year-old Ghanaian male presented with seeing flies. His corrected visual acuity was 1.5 right and 1.2 left. Both eyes showed avascular area with neovascularization simulating sea-fan in the periphery. The left eye showed retinal detachment in the inferior temporal sector. He was diagnosed with proliferative sickle cell retinopathy. The right eye was in stage 3 and the left was in stage 5 of disease. The right eye was treated by photocoagulation. The left eye received segmental scleral buckling to avoid ischemia of anterior segment. Both eyes are doing well during the ensuing 8 months. Conclusion: Segmental scleral buckling is one of effective therapeutic.,,0.0,,Japanese,Article,['Japan'],[],['Japan'],2004 - 2013,1
427,Animal models in human disease,2008,Proteomics - Clinical Applications,[No abstract available],"['alpha synuclein', '  biological marker', '  copper zinc superoxide dismutase', '  heat shock protein', '  heat shock protein 27', '  heat shock protein 70', '  microRNA', '  protein', '  proteome', '  torsinA', '  African trypanosomiasis', '  Alzheimer disease', '  amyotrophic lateral sclerosis', '  blood analysis', '  cardiomyopathy', '  cerebrospinal fluid analysis', '  degenerative disease', '  diabetes mellitus', '  diabetic angiopathy', '  diabetic nephropathy', '  diabetic retinopathy', '  disease model', '  editorial', '  experimental animal', '  gene mutation', '  gene overexpression', '  human', '  Huntington chorea', '  Lewy body', '  mass spectrometry', '  microarray analysis', '  molecular recognition', '  muscular dystrophy', '  nonhuman', '  oxidative stress', '  Parkinson disease', '  primary torsion dystonia', '  priority journal', '  protein function', '  proteomics', '  sickle cell anemia', '  torsion dystonia', '  two dimensional gel electrophoresis', '  Animalia']",0.0,,English,Editorial,['Germany'],[],['Germany'],2004 - 2013,1
428,Sickle cell-hemoglobin C retinopathy: Transient obstruction of retinal and choroidal circulations and transient drying out of retinal neovessels,2008,International Ophthalmology,"We present a case of sickle cell-hemoglobin C disease that presented acute retinal and choroidal peripheral non-perfusion on the base of chronic microvascular obstruction, which transiently closed retinal neovessels. © Springer Science+Business Media B.V. 2008.","['adult', '  article', '  case report', '  choroid', '  fluorescence angiography', '  hemoglobin SC disease', '  human', '  male', '  pathology', '  retina blood vessel', '  retina disease', '  retina neovascularization', '  vascularization', '  Adult', '  Choroid', '  Fluorescein Angiography', '  Hemoglobin SC Disease', '  Humans', '  Male', '  Retinal Diseases', '  Retinal Neovascularization', '  Retinal Vessels']",2.0,,English,Article,['Italy'],[],['Italy'],2004 - 2013,1
429,The outcome of 105 tunisian pediatric patients with sickle cell disease [Profil evolutif de 105 enfants drepanocytaires tunisiens],2008,Tunisie Medicale,"Background : Sickle cell disease is widespread in the world. It is a public health problem in Tunisia. Aim : In this paper, we will study the outcome of 105 tunisians infants affected by this disease. Methods : It is a retrospective study over 8 years, enrolling 105 tunisian infants with sickle cell disease. Their main age is 10 years 7 months (19 months - 18 years). They are distributed into 58 boys and 47 girls. Sixty two of them are homozygotes S/S, and 43 are double heterozygotes (S/, thalassemics = 41 cases, S/O arab = 1 case, S/C = 1 case) Results : The main acute complications were vaso occlusive crises in 85 patients. They essentially reach the limbs. One hundred and twenty one events "" acute anaemia"" were observed. They are distributed into 107 events splenic sequestration (88.4%) and 14 events erythroblastopenia (11.6%). Eleven of our patients (10.4%) have presented 16 events ischemic cerebral vascular (strokes). Twenty events acute chest syndrome were observed in 15 patients (14.3%). Infectious complications were noted in 83 patients (79%). The priapism was observed in only 4 boys out of 58. The chronic degenerative complications were as follows : Femur head necrosis in 9 cases, degenerative retinopathy in one case and ulcer leg in one case. Hydroxyurea was reserved to 30 patients with a severe form of the disease. All of them improve the clinical outcome as attested by the number of days of hospitalisation / patient / year, which drops from 30 days to 3 days only (p< 0,001). We not deplore any death. Conclusion : By its complications, sickle cell disease is a potentielly serious disease. Hydroxyurea is an efficient treatment for the most severe forms.","['hydroxyurea', '  acute chest syndrome', '  adolescent', '  adult', '  anemia', '  cerebrovascular disease', '  child', '  clinical feature', '  disease association', '  erythroblastopenia', '  female', '  femur head necrosis', '  follow up', '  general condition improvement', '  heterozygote', '  homozygote', '  hospitalization', '  human', '  leg ulcer', '  major clinical study', '  male', '  outcome assessment', '  pediatric ward', '  retinopathy', '  retrospective study', '  review', '  school child', '  sickle cell anemia', '  stroke', '  Tunisia', '  vein occlusion']",0.0,,French,Review,['Tunisia'],[],['Tunisia'],2004 - 2013,1
