,countries,Funding Entities,Times Funded
130,Jamaica,Wellcome Trust,4
131,Jersey,National Eye Institute,1
132,Kuwait,Brandan’s Eye Research Foundation,1
133,Malawi,FNIH,1
134,Malawi,Medical Research Council,1
135,Malawi,Wellcome Trust,1
136,Malawi,the National Institutes of Health,1
137,Malaysia,ASH,1
138,Malaysia,American Society of Hematology,3
139,Malaysia,British Society for Haematology,2
140,Malaysia,Center for Outcomes Research and Evaluation,1
141,Malaysia,NEI,1
142,Malaysia,NIH,1
143,Malaysia,NIHR,1
144,Malaysia,National Eye Institute,2
145,Malaysia,"National Heart,Lung and Blood Institute",4
146,Malaysia,National Institute for Health Research,1
147,Malaysia,National Institute for Health and Care Research,1
148,Malaysia,National Institutes of Health,2
149,Malaysia,RPB,1
150,Malaysia,Yale School of Medicine,1
151,Malaysia,the National Institutes of Health,1
152,Mali,ANR,1
153,Mali,ANR‐11‐IDEX‐0005‐02,1
154,Mali,Agence Nationale de la Recherche,1
155,Mali,Institut National de la Santé et de la Recherche Médicale,1
156,Mexico,"National Heart,Lung and Blood Institute",2
157,Monaco,CAPES,1
158,Monaco,de Pessoal de N&#x00ED;vel Superior,1
159,Netherlands,Bayer,1
160,Netherlands,Blood Transfusion Research,1
161,Netherlands,Horizon 2020 Framework Programme,1
162,Netherlands,LSBR,1
163,Netherlands,Landsteiner Foundation,1
164,Netherlands,NIH,1
165,Netherlands,NWO,1
166,Netherlands,National Institutes of Health,1
167,Netherlands,Pfizer,1
168,Niger,"National Heart,Lung and Blood Institute",2
169,Nigeria,"National Heart,Lung and Blood Institute",2
170,Norway,NIDDK,1
171,Norway,NIH,1
172,Norway,National Institute of Diabetes and,1
173,Norway,National Institutes of Health,1
174,Pakistan,Future Planning,1
175,Pakistan,ICT,1
176,Pakistan,Ministry of Science,1
177,Pakistan,National Research Foundation,1
178,Senegal,ANR,1
179,Senegal,ANR‐11‐IDEX‐0005‐02,1
180,Senegal,Agence Nationale de la Recherche,1
181,Senegal,CAPES,1
182,Senegal,Campus France,1
183,Senegal,Institut National de la Santé et de la Recherche Médicale,1
184,Senegal,de Pessoal de N&#x00ED;vel Superior,1
185,South Africa,"National Heart,Lung and Blood Institute",2
186,South Korea,Future Planning,1
187,South Korea,ICT,1
188,South Korea,Ministry of Science,1
189,South Korea,National Research Foundation,2
190,Switzerland,Victoria University,1
191,Turkey,NIH,1
192,Turkey,National Eye Institute,1
193,Turkey,National Institutes of Health,1
194,Turkey,R01EY030101,1
195,Turkey,RPB,1
196,Uganda,FIC,1
197,Uganda,Fogarty International Center,1
198,Uganda,NIH,1
199,Uganda,National Institutes of Health,1
200,United Kingdom,De La Salle University,1
201,United Kingdom,FNIH,1
202,United Kingdom,Fundação de Amparo à Pesquisa,1
203,United Kingdom,G0000111,1
204,United Kingdom,MRC,1
205,United Kingdom,Macula Foundation,1
206,United Kingdom,Medical Research Council,5
207,United Kingdom,Moorfields Eye Hospital NHS Foundation Trust,2
208,United Kingdom,NIH,1
209,United Kingdom,NIHR Bristol Biomedical Research Centre,1
210,United Kingdom,"National Heart,Lung and Blood Institute",6
211,United Kingdom,National Institute for Health Research Biomedical Research Centre,1
212,United Kingdom,National Institutes of Health,1
213,United Kingdom,RTI,1
214,United Kingdom,Research Triangle Institute,1
215,United Kingdom,UCL Institute of Ophthalmology,1
216,United Kingdom,WT,4
217,United Kingdom,Wellcome Trust,7
218,United Kingdom,the National Institutes of Health,1
219,United States,ACC,1
220,United States,AHA,1
221,United States,Albert Einstein College of Medicine,1
222,United States,American Association for Dental,1
223,United States,American Heart Association,1
224,United States,BID,1
225,United States,Biomedical Laboratory Research and Development,1
226,United States,C06RR016511,1
227,United States,CDC,1
228,United States,CU,1
229,United States,Canada Research Chairs,1
230,United States,Canadian Institutes of Health Research,2
231,United States,Centers for Disease Control and Prevention,1
232,United States,Centro de Investigaciones Energéticas,1
233,United States,Colgate-Palmolive Company,1
234,United States,Consejo Nacional de Investigaciones Científicas,1
235,United States,Craniofacial Research,1
236,United States,DDCF,4
237,United States,Deutsche Forschungsgemeinschaft,1
238,United States,Doris Duke Charitable Foundation,5
239,United States,EY01765,2
240,United States,EYEY001765,1
241,United States,FFB,3
242,United States,FFS,1
243,United States,FNIH,1
244,United States,Fondo,1
245,United States,Fundação de Amparo à Pesquisa,1
246,United States,G0000111,1
247,United States,GHF,1
248,United States,Genentech,4
249,United States,Georgia Regents University,1
250,United States,Gilead Sciences,1
251,United States,Grant Healthcare Foundation,1
252,United States,HHS,1
253,United States,HOF,1
254,United States,Health Services Research and Development,1
255,United States,Heed Ophthalmic Foundation,1
256,United States,Icahn School of Medicine,1
257,United States,Janssen Pharmaceuticals,1
258,United States,Johns Hopkins University,1
259,United States,K08-EY021189,1
260,United States,K23-EY022947-01A1,1
261,United States,K23HL119627,1
262,United States,MU,1
263,United States,Macula Foundation,1
264,United States,Marrus Family Foundation,3
265,United States,Massachusetts Lions Eye Research Fund,1
266,United States,Medical Research Council,2
267,United States,Medioambientales y Tecnológicas,1
268,United States,Milbank Foundation,1
269,United States,NCI,3
270,United States,NEI,5
271,United States,NIDDK,4
272,United States,NIH,42
273,United States,NPC,3
274,United States,NSF,3
275,United States,National Cancer Institute,3
276,United States,National Center for Advancing Translational Sciences,4
277,United States,National Center for Research Resources,2
278,United States,National Eye Institute,62
279,United States,"National Heart,Lung and Blood Institute",129
280,United States,National Institute of Diabetes and,5
281,United States,National Institute of General Medical Sciences,2
282,United States,National Institute of Neurological Disorders and Stroke,2
283,United States,National Institutes of Health,43
284,United States,National Science Foundation,3
285,United States,New York Eye,1
286,United States,NorthShore University HealthSystem,1
287,United States,Novartis Pharmaceuticals Corporation,3
288,United States,OC-AR PICT N,1
289,United States,ORD,2
290,United States,Office of Research and Development,2
291,United States,P01HL055552,2
292,United States,P20GM103446,1
293,United States,P30CA008748,1
294,United States,P30EY001765,14
295,United States,PHS,1
296,United States,Pfizer,1
297,United States,R00NS060764,1
298,United States,R01 EY023522 R01,1
299,United States,R01EY009357,2
300,United States,R01EY011766,1
301,United States,R01EY024969,2
302,United States,R01EY030101,1
303,United States,R01HL068922,2
304,United States,R01HL070215,1
305,United States,R01HL111659,2
306,United States,RBC,1
307,United States,RBF,1
308,United States,RPB,25
309,United States,RTI,1
310,United States,Regeneron Pharmaceuticals,1
311,United States,Research Triangle Institute,1
312,United States,Research to Prevent Blindness,1
313,United States,Rockefeller Brothers Fund,1
314,United States,Royal Bank of Canada,1
315,United States,SECYT,1
316,United States,U.S. Department,2
317,United States,U.S. Department of Defense,1
318,United States,U.S. Department of Health and Human Services,1
319,United States,U.S. Public Health Service,7
320,United States,U01EY025477,1
321,United States,UIC,1
322,United States,UL1TR001873,2
323,United States,UNC,1
324,United States,USPHS,7
325,United States,Universidad de Buenos Aires,1
326,United States,University of Colorado,1
327,United States,University of Illinois,1
328,United States,University of Illinois at Chicago,1
329,United States,University of Missouri,1
330,United States,Veterans Affairs,2
331,United States,VitreoRetinal Surgery Foundation,1
332,United States,WT,1
333,United States,Wellcome Trust,2
334,United States,Yale University,1
335,United States,Yeshiva University,1
336,United States,Z01DK075008,1
337,United States,the National Institutes of Health,1
338,Zambia,CDC,1
339,Zambia,Centers for Disease Control and Prevention,1
340,Zambia,DDCF,1
341,Zambia,Doris Duke Charitable Foundation,1
342,Zambia,NIH,1
343,Zambia,National Institutes of Health,1
344,Zambia,RBF,1
345,Zambia,Rockefeller Brothers Fund,1
